Rating,No. of Ppl,Divide,Value,Fees
100,11,0.000349462,0.003844077,250
97,62,0.001969692,0.122120914,400
93,7,0.000222385,0.001556692,600
100,13,0.000413,0.005369,500
97,17,0.000540077,0.009181307,300
97,38,0.001207231,0.045874766,600
100,54,0.001715538,0.09263907,300
99,11,0.000349462,0.003844077,350
98,53,0.001683769,0.089239762,400
88,2,6.35385E-05,0.000127077,150
100,2,6.35385E-05,0.000127077,600
75,28,0.000889538,0.024907075,400
100,29,0.000921308,0.026717921,500
69,12,0.000381231,0.004574769,100
92,11,0.000349462,0.003844077,200
95,29,0.000921308,0.026717921,100
94,99,0.003145154,0.311370207,500
94,5,0.000158846,0.000794231,100
95,15,0.000476538,0.007148076,500
93,65,0.002065,0.13422499,300
80,3,9.53077E-05,0.000285923,700
96,29,0.000921308,0.026717921,400
100,99,0.003145154,0.311370207,500
98,56,0.001779077,0.0996283,700
96,12,0.000381231,0.004574769,100
95,31,0.000984846,0.030530228,400
100,13,0.000413,0.005369,100
95,72,0.002287384,0.16469168,300
93,19,0.000603615,0.011468691,250
96,21,0.000667154,0.01401023,600
92,9,0.000285923,0.002573307,800
73,8,0.000254154,0.002033231,250
67,3,9.53077E-05,0.000285923,200
100,1,3.17692E-05,3.17692E-05,500
100,1,3.17692E-05,3.17692E-05,100
100,20,0.000635385,0.012707691,400
96,6,0.000190615,0.001143692,350
97,23,0.000730692,0.016805922,500
99,38,0.001207231,0.045874766,200
77,1,3.17692E-05,3.17692E-05,500
98,49,0.001556692,0.076277917,400
96,50,0.001588461,0.079423071,100
95,47,0.001493154,0.070178225,500
100,3,9.53077E-05,0.000285923,500
98,12,0.000381231,0.004574769,300
98,22,0.000698923,0.015376307,500
98,5,0.000158846,0.000794231,750
97,92,0.002922769,0.268894749,250
99,84,0.002668615,0.224163675,400
96,19,0.000603615,0.011468691,300
100,14,0.000444769,0.006226769,500
99,59,0.001874384,0.110588684,200
91,10,0.000317692,0.003176923,350
97,78,0.002478,0.193283985,250
100,1,3.17692E-05,3.17692E-05,100
100,10,0.000317692,0.003176923,250
85,5,0.000158846,0.000794231,500
97,11,0.000349462,0.003844077,300
98,72,0.002287384,0.16469168,700
33,13,0.000413,0.005369,500
85,1,3.17692E-05,3.17692E-05,400
93,9,0.000285923,0.002573307,700
100,2,6.35385E-05,0.000127077,150
99,43,0.001366077,0.058741303,200
88,7,0.000222385,0.001556692,400
97,15,0.000476538,0.007148076,100
98,49,0.001556692,0.076277917,100
98,17,0.000540077,0.009181307,200
88,5,0.000158846,0.000794231,300
95,1,3.17692E-05,3.17692E-05,750
55,4,0.000127077,0.000508308,150
95,14,0.000444769,0.006226769,750
90,8,0.000254154,0.002033231,300
88,11,0.000349462,0.003844077,500
80,3,9.53077E-05,0.000285923,400
100,8,0.000254154,0.002033231,300
96,10,0.000317692,0.003176923,300
98,44,0.001397846,0.061505226,200
97,13,0.000413,0.005369,400
98,10,0.000317692,0.003176923,200
100,17,0.000540077,0.009181307,500
93,28,0.000889538,0.024907075,200
99,46,0.001461385,0.067223687,500
97,24,0.000762461,0.018299076,300
94,17,0.000540077,0.009181307,600
100,10,0.000317692,0.003176923,500
94,28,0.000889538,0.024907075,300
71,5,0.000158846,0.000794231,500
71,1,3.17692E-05,3.17692E-05,260
91,3,9.53077E-05,0.000285923,300
97,21,0.000667154,0.01401023,600
93,82,0.002605077,0.213616291,300
84,8,0.000254154,0.002033231,500
79,2,6.35385E-05,0.000127077,200
92,6,0.000190615,0.001143692,200
100,6,0.000190615,0.001143692,250
74,3,9.53077E-05,0.000285923,150
99,18,0.000571846,0.01029323,700
98,16,0.000508308,0.008132922,200
98,67,0.002128538,0.142612066,300
97,29,0.000921308,0.026717921,200
89,11,0.000349462,0.003844077,650
91,2,6.35385E-05,0.000127077,150
84,18,0.000571846,0.01029323,250
99,18,0.000571846,0.01029323,750
93,6,0.000190615,0.001143692,300
98,19,0.000603615,0.011468691,400
79,7,0.000222385,0.001556692,400
100,36,0.001143692,0.04117292,100
83,6,0.000190615,0.001143692,300
100,11,0.000349462,0.003844077,300
95,5,0.000158846,0.000794231,350
83,4,0.000127077,0.000508308,200
93,71,0.002255615,0.16014868,400
91,13,0.000413,0.005369,700
98,15,0.000476538,0.007148076,100
100,11,0.000349462,0.003844077,600
100,4,0.000127077,0.000508308,300
96,32,0.001016615,0.03253169,300
80,5,0.000158846,0.000794231,500
99,14,0.000444769,0.006226769,100
91,11,0.000349462,0.003844077,300
45,1,3.17692E-05,3.17692E-05,500
99,91,0.002891,0.26308098,500
100,10,0.000317692,0.003176923,750
77,10,0.000317692,0.003176923,400
96,12,0.000381231,0.004574769,800
100,15,0.000476538,0.007148076,100
92,15,0.000476538,0.007148076,500
98,15,0.000476538,0.007148076,100
96,13,0.000413,0.005369,200
96,8,0.000254154,0.002033231,100
100,2,6.35385E-05,0.000127077,300
94,13,0.000413,0.005369,500
97,2,6.35385E-05,0.000127077,100
96,13,0.000413,0.005369,700
90,88,0.002795692,0.246020904,500
77,8,0.000254154,0.002033231,400
92,21,0.000667154,0.01401023,100
98,55,0.001747308,0.096101916,100
63,6,0.000190615,0.001143692,550
95,15,0.000476538,0.007148076,500
90,5,0.000158846,0.000794231,300
94,20,0.000635385,0.012707691,600
100,7,0.000222385,0.001556692,200
100,12,0.000381231,0.004574769,100
74,13,0.000413,0.005369,750
100,15,0.000476538,0.007148076,300
88,10,0.000317692,0.003176923,100
99,83,0.002636846,0.218858214,300
100,11,0.000349462,0.003844077,200
100,14,0.000444769,0.006226769,800
60,6,0.000190615,0.001143692,350
97,26,0.000826,0.021475998,500
93,15,0.000476538,0.007148076,400
100,3,9.53077E-05,0.000285923,800
100,36,0.001143692,0.04117292,350
97,19,0.000603615,0.011468691,700
80,2,6.35385E-05,0.000127077,400
100,12,0.000381231,0.004574769,300
94,80,0.002541538,0.203323061,700
96,22,0.000698923,0.015376307,100
100,1,3.17692E-05,3.17692E-05,300
98,31,0.000984846,0.030530228,200
98,1,3.17692E-05,3.17692E-05,150
93,12,0.000381231,0.004574769,400
100,10,0.000317692,0.003176923,500
95,27,0.000857769,0.023159767,500
92,6,0.000190615,0.001143692,750
100,1,3.17692E-05,3.17692E-05,100
99,24,0.000762461,0.018299076,500
99,40,0.001270769,0.050830765,300
100,17,0.000540077,0.009181307,100
100,13,0.000413,0.005369,200
97,8,0.000254154,0.002033231,250
81,48,0.001524923,0.073196302,800
100,21,0.000667154,0.01401023,100
100,40,0.001270769,0.050830765,100
100,46,0.001461385,0.067223687,200
97,42,0.001334308,0.056040919,700
96,83,0.002636846,0.218858214,300
56,5,0.000158846,0.000794231,100
94,44,0.001397846,0.061505226,300
96,21,0.000667154,0.01401023,400
93,14,0.000444769,0.006226769,400
81,13,0.000413,0.005369,500
100,18,0.000571846,0.01029323,400
94,1,3.17692E-05,3.17692E-05,400
94,22,0.000698923,0.015376307,500
97,7,0.000222385,0.001556692,500
80,12,0.000381231,0.004574769,200
98,32,0.001016615,0.03253169,400
95,45,0.001429615,0.064332687,250
100,13,0.000413,0.005369,200
100,11,0.000349462,0.003844077,400
96,38,0.001207231,0.045874766,300
95,2,6.35385E-05,0.000127077,100
94,4,0.000127077,0.000508308,500
100,5,0.000158846,0.000794231,350
98,17,0.000540077,0.009181307,100
95,17,0.000540077,0.009181307,600
100,11,0.000349462,0.003844077,150
97,28,0.000889538,0.024907075,500
86,5,0.000158846,0.000794231,500
92,32,0.001016615,0.03253169,500
90,5,0.000158846,0.000794231,600
92,13,0.000413,0.005369,400
96,3,9.53077E-05,0.000285923,300
97,76,0.002414461,0.183499063,700
100,18,0.000571846,0.01029323,300
96,8,0.000254154,0.002033231,150
98,14,0.000444769,0.006226769,100
96,8,0.000254154,0.002033231,250
96,35,0.001111923,0.038917305,500
100,23,0.000730692,0.016805922,200
93,9,0.000285923,0.002573307,300
97,10,0.000317692,0.003176923,100
94,11,0.000349462,0.003844077,700
100,4,0.000127077,0.000508308,900
86,8,0.000254154,0.002033231,200
99,56,0.001779077,0.0996283,500
97,18,0.000571846,0.01029323,300
96,9,0.000285923,0.002573307,100
100,2,6.35385E-05,0.000127077,200
89,4,0.000127077,0.000508308,200
95,94,0.002986307,0.280712901,500
96,19,0.000603615,0.011468691,300
99,26,0.000826,0.021475998,100
98,29,0.000921308,0.026717921,600
94,21,0.000667154,0.01401023,500
98,19,0.000603615,0.011468691,500
98,42,0.001334308,0.056040919,500
92,3,9.53077E-05,0.000285923,400
100,6,0.000190615,0.001143692,300
95,4,0.000127077,0.000508308,550
94,47,0.001493154,0.070178225,100
99,28,0.000889538,0.024907075,700
100,39,0.001239,0.048320996,500
77,7,0.000222385,0.001556692,800
96,20,0.000635385,0.012707691,300
96,1,3.17692E-05,3.17692E-05,100
93,2,6.35385E-05,0.000127077,800
93,14,0.000444769,0.006226769,600
95,64,0.002033231,0.130126759,100
99,35,0.001111923,0.038917305,350
97,36,0.001143692,0.04117292,200
83,1,3.17692E-05,3.17692E-05,400
100,3,9.53077E-05,0.000285923,100
100,8,0.000254154,0.002033231,150
100,1,3.17692E-05,3.17692E-05,200
60,5,0.000158846,0.000794231,300
97,35,0.001111923,0.038917305,550
100,5,0.000158846,0.000794231,500
100,17,0.000540077,0.009181307,250
98,35,0.001111923,0.038917305,250
100,11,0.000349462,0.003844077,550
74,19,0.000603615,0.011468691,300
97,47,0.001493154,0.070178225,500
90,41,0.001302538,0.053404073,350
99,37,0.001175461,0.043492074,600
99,7,0.000222385,0.001556692,100
100,4,0.000127077,0.000508308,250
89,46,0.001461385,0.067223687,100
97,24,0.000762461,0.018299076,400
96,3,9.53077E-05,0.000285923,400
100,8,0.000254154,0.002033231,500
93,26,0.000826,0.021475998,300
94,3,9.53077E-05,0.000285923,200
100,7,0.000222385,0.001556692,700
98,26,0.000826,0.021475998,400
99,37,0.001175461,0.043492074,300
96,34,0.001080154,0.036725228,300
98,39,0.001239,0.048320996,400
100,4,0.000127077,0.000508308,500
100,14,0.000444769,0.006226769,500
98,38,0.001207231,0.045874766,400
93,15,0.000476538,0.007148076,150
100,11,0.000349462,0.003844077,200
100,17,0.000540077,0.009181307,500
91,1,3.17692E-05,3.17692E-05,500
96,31,0.000984846,0.030530228,300
100,16,0.000508308,0.008132922,300
98,10,0.000317692,0.003176923,500
94,19,0.000603615,0.011468691,100
100,26,0.000826,0.021475998,500
95,10,0.000317692,0.003176923,100
93,13,0.000413,0.005369,350
79,15,0.000476538,0.007148076,300
69,9,0.000285923,0.002573307,500
96,52,0.001652,0.085903993,700
96,5,0.000158846,0.000794231,800
90,1,3.17692E-05,3.17692E-05,500
72,12,0.000381231,0.004574769,300
98,11,0.000349462,0.003844077,500
98,10,0.000317692,0.003176923,100
79,8,0.000254154,0.002033231,500
100,1,3.17692E-05,3.17692E-05,200
98,72,0.002287384,0.16469168,200
76,3,9.53077E-05,0.000285923,100
100,14,0.000444769,0.006226769,100
95,12,0.000381231,0.004574769,700
100,8,0.000254154,0.002033231,250
97,3,9.53077E-05,0.000285923,100
100,12,0.000381231,0.004574769,300
100,21,0.000667154,0.01401023,300
95,33,0.001048385,0.03459669,100
97,9,0.000285923,0.002573307,200
81,22,0.000698923,0.015376307,300
97,62,0.001969692,0.122120914,300
100,23,0.000730692,0.016805922,700
60,5,0.000158846,0.000794231,500
99,7,0.000222385,0.001556692,100
96,29,0.000921308,0.026717921,700
97,21,0.000667154,0.01401023,100
93,14,0.000444769,0.006226769,500
100,19,0.000603615,0.011468691,400
99,23,0.000730692,0.016805922,250
77,3,9.53077E-05,0.000285923,300
94,27,0.000857769,0.023159767,400
67,9,0.000285923,0.002573307,650
100,17,0.000540077,0.009181307,300
96,54,0.001715538,0.09263907,500
87,4,0.000127077,0.000508308,300
96,10,0.000317692,0.003176923,750
91,18,0.000571846,0.01029323,700
96,20,0.000635385,0.012707691,400
88,37,0.001175461,0.043492074,500
57,1,3.17692E-05,3.17692E-05,100
100,10,0.000317692,0.003176923,100
84,9,0.000285923,0.002573307,200
72,7,0.000222385,0.001556692,700
85,7,0.000222385,0.001556692,800
95,14,0.000444769,0.006226769,400
99,44,0.001397846,0.061505226,500
99,43,0.001366077,0.058741303,500
99,31,0.000984846,0.030530228,400
98,60,0.001906154,0.114369222,500
100,18,0.000571846,0.01029323,300
82,22,0.000698923,0.015376307,380
100,36,0.001143692,0.04117292,50
89,78,0.002478,0.193283985,400
80,9,0.000285923,0.002573307,700
95,49,0.001556692,0.076277917,150
93,11,0.000349462,0.003844077,100
97,17,0.000540077,0.009181307,300
100,4,0.000127077,0.000508308,100
98,10,0.000317692,0.003176923,100
90,12,0.000381231,0.004574769,500
73,24,0.000762461,0.018299076,400
97,13,0.000413,0.005369,200
95,42,0.001334308,0.056040919,100
91,12,0.000381231,0.004574769,100
99,49,0.001556692,0.076277917,100
99,39,0.001239,0.048320996,500
99,72,0.002287384,0.16469168,300
100,55,0.001747308,0.096101916,250
85,12,0.000381231,0.004574769,500
97,8,0.000254154,0.002033231,600
92,3,9.53077E-05,0.000285923,400
98,45,0.001429615,0.064332687,100
79,3,9.53077E-05,0.000285923,500
99,39,0.001239,0.048320996,300
94,10,0.000317692,0.003176923,250
98,37,0.001175461,0.043492074,500
93,29,0.000921308,0.026717921,400
92,56,0.001779077,0.0996283,500
97,3,9.53077E-05,0.000285923,600
97,28,0.000889538,0.024907075,300
97,14,0.000444769,0.006226769,150
98,66,0.002096769,0.138386759,700
99,10,0.000317692,0.003176923,300
97,18,0.000571846,0.01029323,100
96,10,0.000317692,0.003176923,800
90,18,0.000571846,0.01029323,100
100,18,0.000571846,0.01029323,150
92,6,0.000190615,0.001143692,100
99,63,0.002001461,0.126092067,250
95,17,0.000540077,0.009181307,100
88,10,0.000317692,0.003176923,200
95,5,0.000158846,0.000794231,800
97,40,0.001270769,0.050830765,400
95,35,0.001111923,0.038917305,400
95,21,0.000667154,0.01401023,800
99,17,0.000540077,0.009181307,100
88,19,0.000603615,0.011468691,500
98,18,0.000571846,0.01029323,500
94,22,0.000698923,0.015376307,400
94,29,0.000921308,0.026717921,450
100,10,0.000317692,0.003176923,100
97,19,0.000603615,0.011468691,200
93,20,0.000635385,0.012707691,350
89,61,0.001937923,0.118213299,750
80,11,0.000349462,0.003844077,400
98,5,0.000158846,0.000794231,300
91,33,0.001048385,0.03459669,700
96,12,0.000381231,0.004574769,400
86,10,0.000317692,0.003176923,250
96,5,0.000158846,0.000794231,300
100,26,0.000826,0.021475998,800
98,64,0.002033231,0.130126759,800
100,16,0.000508308,0.008132922,300
100,5,0.000158846,0.000794231,400
57,5,0.000158846,0.000794231,300
96,12,0.000381231,0.004574769,500
98,7,0.000222385,0.001556692,100
96,19,0.000603615,0.011468691,400
98,43,0.001366077,0.058741303,500
100,10,0.000317692,0.003176923,200
88,80,0.002541538,0.203323061,500
97,9,0.000285923,0.002573307,750
85,20,0.000635385,0.012707691,500
99,19,0.000603615,0.011468691,300
99,21,0.000667154,0.01401023,500
100,12,0.000381231,0.004574769,500
88,13,0.000413,0.005369,500
92,5,0.000158846,0.000794231,500
100,28,0.000889538,0.024907075,700
89,9,0.000285923,0.002573307,500
97,1,3.17692E-05,3.17692E-05,200
99,14,0.000444769,0.006226769,800
98,39,0.001239,0.048320996,500
73,13,0.000413,0.005369,650
100,29,0.000921308,0.026717921,900
91,33,0.001048385,0.03459669,300
96,10,0.000317692,0.003176923,400
97,11,0.000349462,0.003844077,300
100,30,0.000953077,0.028592305,250
99,43,0.001366077,0.058741303,700
80,13,0.000413,0.005369,200
97,98,0.003113384,0.305111669,800
86,7,0.000222385,0.001556692,500
96,34,0.001080154,0.036725228,100
100,28,0.000889538,0.024907075,100
99,85,0.002700384,0.229532675,300
97,8,0.000254154,0.002033231,300
100,14,0.000444769,0.006226769,250
82,3,9.53077E-05,0.000285923,500
91,51,0.001620231,0.082631763,400
92,6,0.000190615,0.001143692,300
95,10,0.000317692,0.003176923,100
98,10,0.000317692,0.003176923,300
100,14,0.000444769,0.006226769,200
95,3,9.53077E-05,0.000285923,900
98,44,0.001397846,0.061505226,100
93,12,0.000381231,0.004574769,150
94,43,0.001366077,0.058741303,750
95,3,9.53077E-05,0.000285923,300
95,96,0.003049846,0.292785208,500
98,57,0.001810846,0.103218223,400
84,19,0.000603615,0.011468691,500
86,27,0.000857769,0.023159767,100
67,11,0.000349462,0.003844077,400
100,4,0.000127077,0.000508308,600
100,16,0.000508308,0.008132922,800
89,19,0.000603615,0.011468691,500
96,55,0.001747308,0.096101916,500
98,89,0.002827461,0.251644058,500
94,25,0.000794231,0.019855768,500
88,5,0.000158846,0.000794231,400
100,15,0.000476538,0.007148076,400
100,7,0.000222385,0.001556692,300
92,8,0.000254154,0.002033231,150
77,8,0.000254154,0.002033231,500
98,36,0.001143692,0.04117292,600
95,86,0.002732154,0.234965213,300
100,11,0.000349462,0.003844077,200
95,6,0.000190615,0.001143692,200
67,9,0.000285923,0.002573307,400
97,55,0.001747308,0.096101916,500
100,26,0.000826,0.021475998,500
100,13,0.000413,0.005369,450
100,18,0.000571846,0.01029323,500
98,74,0.002350923,0.173968294,400
90,14,0.000444769,0.006226769,500
96,13,0.000413,0.005369,500
82,2,6.35385E-05,0.000127077,450
100,8,0.000254154,0.002033231,300
96,14,0.000444769,0.006226769,100
100,34,0.001080154,0.036725228,500
96,53,0.001683769,0.089239762,350
94,13,0.000413,0.005369,800
93,20,0.000635385,0.012707691,100
100,22,0.000698923,0.015376307,100
92,12,0.000381231,0.004574769,200
55,9,0.000285923,0.002573307,750
100,18,0.000571846,0.01029323,900
93,4,0.000127077,0.000508308,300
98,33,0.001048385,0.03459669,100
95,27,0.000857769,0.023159767,200
97,7,0.000222385,0.001556692,300
94,42,0.001334308,0.056040919,400
99,17,0.000540077,0.009181307,500
100,9,0.000285923,0.002573307,100
93,94,0.002986307,0.280712901,300
84,16,0.000508308,0.008132922,700
97,8,0.000254154,0.002033231,500
95,33,0.001048385,0.03459669,700
97,18,0.000571846,0.01029323,100
97,33,0.001048385,0.03459669,350
100,6,0.000190615,0.001143692,250
100,8,0.000254154,0.002033231,200
100,53,0.001683769,0.089239762,500
100,47,0.001493154,0.070178225,500
100,7,0.000222385,0.001556692,500
97,97,0.003081615,0.298916669,300
71,2,6.35385E-05,0.000127077,100
98,32,0.001016615,0.03253169,300
95,10,0.000317692,0.003176923,350
95,3,9.53077E-05,0.000285923,100
94,28,0.000889538,0.024907075,100
84,6,0.000190615,0.001143692,600
98,44,0.001397846,0.061505226,400
96,18,0.000571846,0.01029323,700
88,3,9.53077E-05,0.000285923,150
99,82,0.002605077,0.213616291,750
95,23,0.000730692,0.016805922,500
80,11,0.000349462,0.003844077,600
96,3,9.53077E-05,0.000285923,500
91,23,0.000730692,0.016805922,600
95,42,0.001334308,0.056040919,100
100,15,0.000476538,0.007148076,600
97,88,0.002795692,0.246020904,500
99,17,0.000540077,0.009181307,500
100,10,0.000317692,0.003176923,100
60,2,6.35385E-05,0.000127077,250
96,11,0.000349462,0.003844077,500
99,14,0.000444769,0.006226769,150
100,3,9.53077E-05,0.000285923,300
97,19,0.000603615,0.011468691,300
92,3,9.53077E-05,0.000285923,350
96,17,0.000540077,0.009181307,650
96,12,0.000381231,0.004574769,350
98,15,0.000476538,0.007148076,300
96,4,0.000127077,0.000508308,500
96,4,0.000127077,0.000508308,100
7,11,0.000349462,0.003844077,100
99,34,0.001080154,0.036725228,400
97,19,0.000603615,0.011468691,400
95,16,0.000508308,0.008132922,100
97,14,0.000444769,0.006226769,200
98,38,0.001207231,0.045874766,700
97,4,0.000127077,0.000508308,100
100,45,0.001429615,0.064332687,500
97,15,0.000476538,0.007148076,600
100,10,0.000317692,0.003176923,650
100,7,0.000222385,0.001556692,250
100,14,0.000444769,0.006226769,700
100,24,0.000762461,0.018299076,200
100,3,9.53077E-05,0.000285923,700
74,16,0.000508308,0.008132922,500
95,50,0.001588461,0.079423071,400
100,5,0.000158846,0.000794231,300
100,34,0.001080154,0.036725228,800
99,87,0.002763923,0.240461289,100
96,16,0.000508308,0.008132922,400
78,97,0.003081615,0.298916669,300
87,4,0.000127077,0.000508308,200
88,1,3.17692E-05,3.17692E-05,300
96,6,0.000190615,0.001143692,350
98,45,0.001429615,0.064332687,300
100,4,0.000127077,0.000508308,100
100,6,0.000190615,0.001143692,500
63,12,0.000381231,0.004574769,500
93,27,0.000857769,0.023159767,200
100,1,3.17692E-05,3.17692E-05,500
95,19,0.000603615,0.011468691,250
75,2,6.35385E-05,0.000127077,400
95,5,0.000158846,0.000794231,100
100,10,0.000317692,0.003176923,500
100,7,0.000222385,0.001556692,500
75,6,0.000190615,0.001143692,200
85,10,0.000317692,0.003176923,600
100,11,0.000349462,0.003844077,200
85,6,0.000190615,0.001143692,300
95,7,0.000222385,0.001556692,400
94,66,0.002096769,0.138386759,500
99,25,0.000794231,0.019855768,100
100,33,0.001048385,0.03459669,250
100,4,0.000127077,0.000508308,100
88,2,6.35385E-05,0.000127077,350
96,21,0.000667154,0.01401023,100
92,11,0.000349462,0.003844077,300
100,11,0.000349462,0.003844077,100
98,17,0.000540077,0.009181307,700
95,45,0.001429615,0.064332687,250
86,21,0.000667154,0.01401023,100
98,30,0.000953077,0.028592305,200
98,25,0.000794231,0.019855768,500
95,3,9.53077E-05,0.000285923,100
96,35,0.001111923,0.038917305,400
90,36,0.001143692,0.04117292,100
71,3,9.53077E-05,0.000285923,350
97,26,0.000826,0.021475998,400
94,51,0.001620231,0.082631763,700
97,16,0.000508308,0.008132922,300
89,48,0.001524923,0.073196302,600
92,4,0.000127077,0.000508308,400
90,8,0.000254154,0.002033231,300
94,3,9.53077E-05,0.000285923,200
99,30,0.000953077,0.028592305,100
99,10,0.000317692,0.003176923,400
94,11,0.000349462,0.003844077,200
93,13,0.000413,0.005369,300
97,18,0.000571846,0.01029323,100
96,19,0.000603615,0.011468691,800
97,24,0.000762461,0.018299076,450
98,49,0.001556692,0.076277917,100
94,2,6.35385E-05,0.000127077,300
100,18,0.000571846,0.01029323,250
100,16,0.000508308,0.008132922,100
99,10,0.000317692,0.003176923,100
100,9,0.000285923,0.002573307,500
83,42,0.001334308,0.056040919,400
85,2,6.35385E-05,0.000127077,100
100,24,0.000762461,0.018299076,250
99,10,0.000317692,0.003176923,300
99,16,0.000508308,0.008132922,400
100,1,3.17692E-05,3.17692E-05,100
100,15,0.000476538,0.007148076,100
100,41,0.001302538,0.053404073,550
67,8,0.000254154,0.002033231,800
95,12,0.000381231,0.004574769,750
91,1,3.17692E-05,3.17692E-05,500
99,46,0.001461385,0.067223687,200
98,15,0.000476538,0.007148076,100
96,4,0.000127077,0.000508308,250
93,98,0.003113384,0.305111669,300
95,49,0.001556692,0.076277917,500
95,2,6.35385E-05,0.000127077,450
98,23,0.000730692,0.016805922,450
98,79,0.002509769,0.198271754,200
100,17,0.000540077,0.009181307,800
100,32,0.001016615,0.03253169,500
90,52,0.001652,0.085903993,700
100,10,0.000317692,0.003176923,100
100,5,0.000158846,0.000794231,100
95,3,9.53077E-05,0.000285923,100
99,38,0.001207231,0.045874766,250
97,16,0.000508308,0.008132922,350
84,8,0.000254154,0.002033231,400
97,51,0.001620231,0.082631763,700
93,3,9.53077E-05,0.000285923,100
100,19,0.000603615,0.011468691,100
98,13,0.000413,0.005369,250
96,27,0.000857769,0.023159767,500
98,78,0.002478,0.193283985,200
91,7,0.000222385,0.001556692,200
99,72,0.002287384,0.16469168,400
100,2,6.35385E-05,0.000127077,500
86,14,0.000444769,0.006226769,100
99,9,0.000285923,0.002573307,400
97,32,0.001016615,0.03253169,500
96,13,0.000413,0.005369,450
93,11,0.000349462,0.003844077,300
