"Qualification","Quali"
"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",4
"BDS",3
"MBBS",3
"MS - General Surgery, Diploma in Otorhinolaryngology (DLO)",4
"DDVL, Diploma in Health Administration, MD - Dermatology, MBBS",4
"MBBS, MD - Dermatology",4
"BDS",3
"BHMS",3
"MBBS, MD - Skin & VD, FAMS - Fellowship of the Academy Medicine",4
"MBBS",3
"MBBS, Diploma in Dermatology",3
"MBBS, DDVL",3
"MBBS, MD - Internal Medicine, DNB - Internal Medicine",4
"MD - General Medicine, MBBS",4
"MBBS, MS - ENT, DNB - ENT, FRCS - General Surgery",4
"MBBS",3
"MBBS, MS - ENT",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BHMS, MD - Homeopathy",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MRCS (UK)",4
"MBBS, DDVL",3
"MBBS, DNB - ENT",3
"MBBS",3
"BDS",3
"BHMS, MD - Homeopathy, PhD - Homoeopathy",5
"BDS, Certificate in Dental Implants, MDS - Orthodontics and Dentofacial Orthopaedics",4
"BAMS",3
"BHMS",3
"BAMS",3
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"MBBS, MS - ENT",4
"BDS, MDS - Periodontology and Oral Implantology",4
"BDS",3
"MBBS, MS - ENT",4
"MBBS",3
"BDS, MDS - Periodontics",4
"BAMS",3
"BDS",3
"MBBS, MD - Dermatology",4
"MBBS, MD - Dermatology",4
"MDS - Oral & Maxillofacial Surgery, BDS",4
"BDS",3
"BAMS",3
"MBBS, DNB - Family Medicine",3
"MBBS, MD - General Medicine",4
"BHMS",3
"BAMS",3
"MS - ENT, DNB - ENT, Diploma in Otorhinolaryngology (DLO)",4
"PhD - Orthodontics & Dentofacial Orthopaedics, BDS",5
"BHMS, MD - Homeopathy, MS - Psychology",4
"BDS, MS - Pediatric",4
"MBBS, MD - General Medicine, Member of the Royal Society for the Promotion of Health (UK) (MRSH), Post Graduate Diploma in Endocrinology",4
"MBBS, DDV",3
"BAMS, MD - Ayurveda Medicine",4
"MBBS",3
"BAMS, MD - Ayurveda Medicine",4
"BHMS",3
"MBBS",3
"MD - Internal Medicine, Post Graduate Diploma in Diabetology (PGDD), MBBS",4
"MDS - Oral & Maxillofacial Surgery",4
"BDS, MDS - Prosthodontics",4
"MBBS, DDV",3
"MS - ENT, MBBS",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS",3
"BDS, MDS",4
"DHMS (Diploma in Homeopathic Medicine and Surgery), M.Sc.- Clinical Nutrition and Dietetics, MSc - Psychotherapy And Counselling",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MD - Ayurveda Medicine",4
"MBBS, MS - ENT, MRCS (UK)",4
"MBBS, DDVL",3
"BDS",3
"BHMS",3
"BAMS",3
"BAMS, MS (Shalyatantra), MSc - Yoga",4
"BAMS",3
"MBBS, MS - ENT, DLO",4
"BAMS",3
"MBBS, MS - ENT, DNB - ENT",4
"BDS, Post Graduate Diploma in Advanced Implantology",4
"BDS",3
"MBBS, MD - Dermatology",4
"MBBS",3
"MBBS, MD - Alternate Medicine, Post Graduate Diploma in Counselling & Psychotherapy, MS - Counselling & Psychotherapy, PhD - Alternative Medicine",5
"BDS",3
"BDS, Fellowship in Oral implantlogy",3
"MBBS, MD - Dermatology",4
"MBBS, MS - ENT",4
"BAMS",3
"BHMS",3
"MBBS, DDVL",3
"BHMS",3
"MD - General Medicine, MBBS",4
"BHMS, Diploma in Personal Counselling Skills (DPCS)",3
"BDS",3
"MBBS, MS - ENT",4
"MBBS, MD - Dermatology, DNB - Dermatology, Venereology & Leprosy",4
"BDS",3
"GCEH",0
"MBBS",3
"BHMS",3
"BDS",3
"MBBS, MS - General Surgery, DNB",4
"BHMS, Certification in Personal Counsling",3
"BDS",3
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"BHMS",3
"BAMS",3
"MS - Otorhinolaryngology",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"Post Graduate Diploma in Healthcare Management(PGDHM), MBBS, MD - Internal Medicine",4
"MBBS, MS - ENT",4
"MBBS, MD - Dermatology , Venereology & Leprosy, Fellowship in Lasers & Cosmetology",4
"MBBS, Fellowship In Anti-Aging And Aesthetic Medicine, Diploma in Practical Dermatology, Fellow Hair Transplant Surgery, Fellowship in Lasers & Advanced Dermatology",3
"BDS",3
"MBBS, MD - Internal Medicine",4
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"DNB - Paediatrics, MRCPCH (UK), MBBS",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BDS, MDS - Oral Medicine and Radiology",4
"MD - Homeopathy, Diploma in Obesity managemnt, BHMS",4
"MBBS, MS - ENT",4
"BAMS, Certificate Course In Therapeutic Yoga",3
"BHMS",3
"BHMS",3
"MBBS, MS - ENT",4
"MBBS, MD - General Medicine, DNB - Nephrology",4
"MBBS, FRGUHS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MD - General Medicine, DM - Neurology",4
"Certification in Aesthetic Dentistry, Certificate in Cosmetic Dentistry, BDS",3
"BHMS",3
"MBBS, MS - ENT, DNB - ENT",4
"MBBS, MD - General Medicine, MRCP",4
"BHMS",3
"MBBS, MS - ENT",4
"MS - ENT, MBBS",4
"Fellowship In Laryngology Bronchoesophagology, MBBS, DNB - ENT",3
"FAGE, MBBS",3
"MS - ENT, MBBS, MS - Otorhinolaryngology",4
"MBBS, MD - Dermatology",4
"BDS, MDS - Pedodontics",4
"MBBS, Diploma in Medical Radio-Diagnosis",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BDS, MDS - Pedodontics",4
"BHMS",3
"MDS - Oral & Maxillofacial Surgery, BDS",4
"MBBS, MS - ENT",4
"BHMS, MD - Homeopathy",4
"BDS, Certification in Full Mouth Rehabilitation",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS, DDV, DNB",3
"BHMS, Diploma in Acupuncture, MD - Homeopathy, Diploma in Naturopathy & Yogic Science (DNYS)",4
"MBBS, MD - Dermatology",4
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"BDS, MFDS RCS",4
"MBBS, MS - ENT",4
"MBBS, MS - ENT",4
"MBBS",3
"MBBS, DNB - Internal Medicine",3
"MS - General Surgery, Fellowship in Minimal Access Surgery, MBBS",4
"BHMS",3
"BAMS",3
"MBBS, DGO, Diploma in Dermatology",3
"MBBS",3
"BDS",3
"BDS, MDS - Oral & Maxillofacial Surgery, Diplomate in Oral Implantology, Masters in Oral Implantology, Implant Externship Program, Fellowship in Implantology, Fellowship in Aesthetic Medicine",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, MD - Internal Medicine, FRCP",4
"MD - Ayurveda Medicine, BAMS",4
"Fellowship in Aesthetic Medicine, MD - Dermatology",4
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"BDS, MDS - Periodontics",4
"MD - Dermatology, MBBS",4
"BHMS",3
"MBBS, Diploma in Dermatology",3
"BAMS, M.S. (Ayurved) Stri Roga & Prasuti Tantra",4
"BAMS, MS - Ayurveda, Fellow of Academy of General Education (FAGE)",4
"BAMS",3
"MBBS, DGO",3
"BAMS",3
"MBBS",3
"BDS",3
"BHMS",3
"MBBS, MS - ENT",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS",3
"BAMS",3
"BHMS",3
"MS - Ayurvedic Gynecology & Obstetrics, BAMS",4
"MBBS, DNB - ENT",3
"BDS, MDS - Periodontics",4
"BHMS",3
"MBBS, MD - Pathology",4
"MBBS, MS - ENT",4
"BHMS",3
"MBBS, MD - Internal Medicine, Fellowship in Rheumatology",4
"MBBS, MD - Dermatology",4
"BDS",3
"MD - Ayurveda Medicine, BAMS, MBA, D.Y.A",4
"MBBS, MD - General Medicine",4
"BHMS",3
"MBBS, MD - General Medicine",4
"BDS",3
"MBBS, MS - ENT, DNB - ENT",4
"MBBS, DVD",3
"MBBS, MD - Medicine",4
"MBBS, MS - ENT",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BHMS",3
"DDVL, MBBS",3
"MBBS, Diploma in Public Health",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4
"MD - Homeopathy, BHMS",4
"BDS, MDS - Prosthodontics",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BAMS, PhD- Ayurveda",5
"BHMS",3
"MD - General Medicine, DM - Critical Care Medicine, Post Graduate Course in Diabetology, MBBS",4
"MBBS, MS - Otorhinolaryngology, DNB - Otorhinolaryngology",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS",3
"BSAM",3
"MBBS, MD - Dermatology, FRGUHS",4
"MBBS, DDV, MD - Dermatology",4
"BDS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, Certificate Course in Sports and Fitness Nutrition, MBBS, Diploma in Advanced Skin and Hair Treatments, Doctor of Medicine (Alternate Medicine)",4
"MBBS, MD - General Medicine",4
"BDS, MDS",4
"BHMS",3
"BAMS, Certificate in Cosmetology, Certificate in Cosmetology",3
"BAMS",3
"BHMS",3
"BDS",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BDS, MDS - Prosthodontics",4
"BDS",3
"BDS",3
"MD - Dermatology, MBBS",4
"BHMS",3
"MBBS, MD - Dermatology, MD - Skin,VD & Leprosy",4
"MBBS, MS - ENT",4
"MBBS",3
"MBBS, MD - Dermatology",4
"BDS, MDS - Public Health Dentistry",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BAMS",3
"BAMS, MD - Ayurveda Medicine",4
"BAMS, Post Graduate Diploma In Yoga",4
"MBBS",3
"MBBS, MS - ENT, Diploma in ENT",4
"BAMS, MD - Ayurveda Medicine, MA, DNHE",4
"BDS",3
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"BAMS",3
"BHMS",3
"BDS",3
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"MD - Skin & VD",4
"MBBS, MD - Dermatology",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS, MS - General Surgery, Diploma in Endoscopy",4
"MBBS, Diploma in Anesthesiology",3
"MBBS, MD - Pediatrics",4
"MBBS, Fellowship of College of General Practice (FCGP)",3
"MBBS, MD - General Medicine",4
"MBBS, MS - ENT",4
"MD - Dermatology , Venereology & Leprosy",4
"BAMS",3
"MBBS, MD - Dermatology",4
"MBBS, MRCGP",4
"BAMS, MS - Ayurveda",4
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",5
"BAMS",3
"PhD - Orthodontics & Dentofacial Orthopaedics, BDS, MDS - Orthodontics",5
"BDS",3
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MD - Microbiology",4
"MBBS, MD - Dermatology",4
"BHMS",3
"BAMS",3
"BDS",3
"BDS, Post-Graduate Certificate in Oral Implantology (PGCOI)",4
"MBBS, Diploma in Otorhinolaryngology (DLO), DO, MS - ENT",4
"BDS",3
"BDS, Diploma in Naturopathy & Yoga (NDDY)",3
"MBBS, MS - ENT",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MD - Ayurveda Medicine",4
"MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology, MBBS",4
"MBBS, MD - Internal Medicine",4
"MBBS, Diploma in Dermatology & Venerology, MD - Skin & VD",4
"MBBS, MD - General Medicine",4
"BHMS",3
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"MBBS, DVD",3
"MBBS, DPM (Psychiatry), M.D. (Psychiatry)",4
"MBBS, MD - Pharmacology",4
"BAMS",3
"MBBS, Diploma in Diabetology, Fellowship in Diabetology(Royal Liverpool University Hospital, UK)",3
"MBBS, DDVL",3
"MBBS",3
"MDS - Periodontics, BDS",4
"MBBS, DDVL",3
"Diploma in Family Medicine (DFM), Post Graduate Diploma in Clinical Research (PGDCR), Post Graduate Diploma in Healthcare Management(PGDHM), MBBS",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BDS, F.A.G.E, Certificate in Dental Implants",3
"MDS - Prosthodontist And Crown Bridge, BDS",4
"BAMS, Diploma In Clinical Panchakarma",3
"MBBS, Diploma in Child Health (DCH), DNB - Pediatrics",4
"MBBS, MS - ENT",4
"MBBS, MD - Dermatology",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS",3
"BDS",3
"BAMS",3
"BHMS",3
"MBBS, DNB - Otorhinolaryngology, Diploma in Otorhinolaryngology (DLO), DAA - Diploma in Allergy Asthma and Immunology",3
"MBBS, MS - Endocrinology & Diabetes, Post Graduate Diploma in Diabetology (PGDD)",4
"BHMS, BHMS, MS - Psychology",4
"BDS",3
"MBBS, DNB - Family Medicine",3
"MBBS, DNB - Family Medicine",3
"MD - Internal Medicine, MBBS",4
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4
"MBBS, MD - General Medicine, DM - Cardiology",4
"FNB - Infectious Disease, MBBS, DNB - General Medicine",3
"BAMS",3
"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",3
"BDS, MDS - Prosthodontist And Crown Bridge, Fellowship in Oral implantlogy",4
"BDS",3
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"BDS, MDS",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, Division of Clinical Psychology (DCP)",3
"DNB - General Medicine, FRCP, MBBS",3
"MBBS",3
"MBBS, MD - Dermatology",4
"BDS, MDS - Prosthodontics, MSc - Master of Oral Implantology (MOI)",4
"BDS, MDS - Oral Medicine and Radiology",4
"BDS",3
"MBBS, MD - Pediatrics",4
"MBBS, MD - Oncology, Diploma in Child Health (DCH)",4
"MBBS, DDV",3
"DNB - Dermatology & Venereology, FCPS - Dermatology, Venereology & Leprosy, Diploma in Dermatology, MBBS",3
"BDS, MDS - Pedodontics",4
"BHMS",3
"BAMS, MD - Alternate Medicine",4
"BHMS",3
"BDS",3
"MBBS, MD - Skin & VD, DDV",4
"BAMS",3
"MBBS",3
"BAMS",3
"MBBS, MS - ENT",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BDS",3
"BAMS",3
"BHMS",3
"MD - Homeopathy, BHMS, Certificate in Child Health (CCH)",4
"MBBS, MF- Homeopathy",4
"BHMS, Masters in Counselling and Psychotherapy, Diploma in Rheumatology",4
"MBBS",3
"BDS",3
"MBBS",3
"BDS, MCP(UCLA-USA)",4
"BHMS, MD - Homeopathy",4
"MDS - Prosthodontist And Crown Bridge, BDS",4
"BDS",3
"MBBS, MS - Otorhinolaryngology",4
"BAMS",3
"BDS",3
"BHMS",3
"MBBS",3
"Get inspired by remarkable stories of people like you",0
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, MS - ENT",4
"MBBS, MD - General Medicine",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MD - Dermatology, Diploma in Dermatology, MBBS",4
"BAMS",3
"BDS, MDS - Prosthodontics",4
"MBBS, M.D. (Psychiatry)",4
"BHMS, MD - Homeopathy",4
"BHMS",3
"PhD - Neuropsychology, BAMS",5
"MBBS, MD - General Medicine",4
"BDS",3
"BHMS, Post Graduate Diploma in Emergency Services (PGDEMS)",4
"MBBS",3
"BDS, MDS - Prosthodontist And Crown Bridge",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BDS",3
"MD - Homeopathy, BHMS",4
"BAMS",3
"MBBS, MS - ENT, Fellowship in ENT",4
"MBBS, MS - ENT",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MDS - Pedodontics",4
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",4
"MBBS, MS - Otorhinolaryngology",4
"MBBS, DNB - Dermatology, Venereology & Leprosy, Fellowship in Aesthetic Medicine",3
"BDS, MDS - Orthodontics",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS",3
"MBBS, DGO",3
"MS - ENT, MBBS",4
"MD - Dermatology",4
"MBBS, DDV",3
"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",4
"MBBS, MS - Otorhinolaryngology",4
"BHMS, Diploma In Naturopathy (ND), MD - Homeopathy",4
"BDS, MDS - Oral Medicine and Radiology",4
"BDS",3
"BAMS, MD - Ayurveda Medicine",4
"MBBS, DDVL",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MD - Ayurveda Medicine, BAMS, PG Diploma in Sexual Medicine",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT, Diploma in Medical Law and Ethics (PGDMLE)",3
"BAMS",3
"MBBS, MRCP (UK)",4
"BHMS, MBA (Health Care), Post Graduate Diploma in Healthcare Management(PGDHM), MS - Psychology",4
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4
"BAMS",3
"MD - Skin & VD, MBBS",4
"BDS",3
"MBBS, MS - ENT",4
"MBBS, MD - Internal Medicine",4
"MBBS, MD - Internal Medicine",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, DNB - Dermatology & Venereology, Diplomate of American board of hair restoration surgery",3
"MBBS",3
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",4
"BAMS, MD - Ayurveda Medicine",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS, MD - Pediatrics, Post Graduate Diploma in Diabetes",4
"MBBS, MD - Dermatology",4
"BAMS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BHMS",3
"MBBS, MS - ENT",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BHMS",3
"BHMS",3
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology, MNAMS - Plastic Surgery, Certified in Hair Transplantation",4
"BHMS, PG Diploma In Clinical Cosmetology (PGDCC)",4
"BDS, MDS",4
"MBBS",3
"BDS",3
"MBBS, MS - ENT",4
"MBBS, MS - Otorhinolaryngology",4
"BDS, MDS",4
"BDS",3
"BHMS",3
"MBBS, MD - Medicine",4
"MBBS, MD - General Medicine",4
"BDS, MDS - Prosthodontics",4
"BDS",3
"MBBS, DORL (ENT), MS - ENT",4
"MBBS, MS - Otorhinolaryngology",4
"MBBS",3
"MBBS, MD - General Medicine",4
"BDS, MDS - Periodontology and Oral Implantology",4
"BAMS, MD - Ayurveda Medicine",4
"BDS, MDS - Periodontology and Oral Implantology",4
"DNB - Dermatology & Venereology, MBBS",3
"MBBS, MD - General Medicine, IDCC (ISCCM)",4
"MBBS, MD - Family Medicine, Master of Public Health (MPH), Diploma in Cardiology",4
"MBBS",3
"Get inspired by remarkable stories of people like you",0
"BAMS, MS",4
"MBBS, MD - Dermatology , Venereology & Leprosy, Fellowship In Cosmetic Dermatology",4
"BHMS",3
"BDS",3
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",5
"Get inspired by remarkable stories of people like you",0
"MD - Anaesthesiology, Diploma in Anesthesiology, MBBS",4
"BAMS",3
"MBBS",3
"MDS - Oral & Maxillofacial Surgery, BDS",4
"BDS",3
"MBBS",3
"BHMS, Diploma in Naturopathy & Yoga (NDDY), DNHE",3
"BAMS, Ayurvedic panchkarma",3
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",4
"BDS, MDS - Periodontology and Oral Implantology",4
"MBBS, MD - Dermatology",4
"MDS - Prosthodontics, BDS",4
"MBBS, DDVL",3
"BHMS",3
"BHMS",3
"MBBS, DDV",3
"MBBS",3
"Post Graduate Diploma in Dermotology (PGDD), MBBS, DDVL",4
"Certificate of Oral Implantology, Certification in Laser Dentistry, BDS",3
"MDS - Oral & Maxillofacial Surgery, BDS, Dip' NMD",4
"BDS, MDS - Periodontics",4
"BHMS, MD - Homeopathy",4
"MBBS, Diploma in Otorhinolaryngology (DLO), PG Diploma In Clinical Cosmetology (PGDCC)",4
"BHMS, Post Graduate Diploma in Emergency Services (PGDEMS), PGMHA",4
"MDS - Orthodontics, BDS",4
"DNB - General Medicine, MBBS",3
"MBBS, DVD",3
"BDS, Diploma in Hospital Management",3
"BAMS",3
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"BAMS, MD - Ayurveda Medicine",4
"BDS, MDS - Periodontics",4
"MBBS, MD - General Medicine, Certificate Course in Management of Thyroid Disorder, Fellowship in Diabetology(Boston School of Medicine, USA)",4
"BAMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BDS, Post-Graduate Certificate in Oral Implantology (PGCOI)",4
"BDS",3
"MBBS, MD - Internal Medicine",4
"MD - Ayurveda Medicine, BAMS",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, DDV",3
"MBBS, MD - Skin & VD",4
"MBBS, MS - Otorhinolaryngology",4
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",4
"BAMS",3
"MD - Homeopathy, BHMS",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MS - ENT",4
"MS - ENT, MBBS",4
"MBBS, MD - General Medicine, PGDHHM",4
"BDS",3
"MS - ENT, MBBS",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BDS",3
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"BAMS",3
"BDS",3
"BAMS",3
"MBBS, DDVL",3
"BDS",3
"BAMS, Post Graduate Diploma in Hospital & Healthcare Management",4
"BDS, MDS",4
"MD - Ayurveda Medicine, BAMS",4
"MBBS, MD - Medicine, FCSI, FSCAI",4
"BHMS",3
"BHMS",3
"BAMS",3
"BAMS, MD - Ayurveda Medicine, PhD- Ayurveda",5
"BDS, MDS - Orthodontics",4
"MDS, BDS, Master of Clinical Dentistry",4
"BDS, MDS",4
"MBBS, DNB - Dermatology & Venereology",3
"MD - Ayurveda Medicine",4
"BHMS, DHMS (Diploma in Homeopathic Medicine and Surgery)",3
"BHMS",3
"MBBS",3
"BAMS",3
"BDS, Post Graduate Certificate in Endodontics (PGCE), Post-Graduate Certificate in Oral Implantology (PGCOI)",4
"Certified In Panchkarma, Certification In Yoga, Paanchabhautic Ayurveda Certificate, BAMS",4
"MBBS, MD - General Medicine",4
"MBBS, Diploma in Traditional Chinese Medicine, Diploma of Clinical Hypnotherapy",3
"MBBS, MD - Medicine, Fellowship in Diabetology, Certificate Course in Management of Thyroid Disorder",4
"BHMS",3
"MBBS, MD - Dermatology",4
"MBBS, MS - ENT",4
"BDS, MDS - Prosthodontics",4
"BHMS",3
"MBBS, DDVL",3
"MBBS, MD - Dermatology",4
"BSc, BDS, Diploma in Laser Dentistry",3
"BAMS",3
