"Qualification","Experience","Place","Profile","Fees","Qual","nyear","nplace","nprof","city","targetdata_Ayurveda","targetdata_Dentist","targetdata_Dermatologists","targetdata_ENT Specialist","targetdata_General Medicine","targetdata_Homeopath","targetdata_ Bangalore","targetdata_ Chennai","targetdata_ Coimbatore","targetdata_ Delhi","targetdata_ Ernakulam","targetdata_ Hyderabad","targetdata_ Mumbai","targetdata_ Sector 5","targetdata_ Thiruvananthapuram","targetdata_unknown"
"MBBS, DNB - ENT","14 years experience","Vasundhra Enclave, Delhi","ENT Specialist",500,2,14,4,4," Delhi",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS","41 years experience","Chembur, Mumbai","General Medicine",200,1,41,7,5," Mumbai",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"MBBS, Fellowship of College of General Practice (FCGP)","31 years experience","Thammanam, Ernakulam","General Medicine",100,2,31,5,5," Ernakulam",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"MBBS, DDVL","23 years experience","Andheri, Mumbai","Dermatologists",100,2,23,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS","5 years experience","Pattom, Thiruvananthapuram","Dentist",100,1,5,8,2," Thiruvananthapuram",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MBBS, IBCLC (USA)","25 years experience","HSR Layout, Bangalore","General Medicine",500,2,25,1,5," Bangalore",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)","12 years experience","Kukatpally, Hyderabad","General Medicine",250,3,12,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS","16 years experience","Vadavalli, Coimbatore","Dentist",100,2,16,3,2," Coimbatore",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Diploma in Dermatology, MBBS","15 years experience","Defence Colony, Delhi","Dermatologists",500,2,15,4,3," Delhi",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, DDVL, Fellowship in Aesthetic Medicine","7 years experience","Banjara Hills, Hyderabad","Dermatologists",500,3,7,6,3," Hyderabad",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"BDS","11 years experience","Sion West, Mumbai","Dentist",500,1,11,7,2," Mumbai",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MS - ENT","14 years experience","CR Park, Delhi","ENT Specialist",100,2,14,4,4," Delhi",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"DM - Neurology, MD - Pediatrics, MBBS","23 years experience","Mogappair East, Chennai","General Medicine",500,3,23,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"BAMS","9 years experience","IP Extension, Delhi","Ayurveda",300,1,9,4,1," Delhi",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BDS, MDS - Oral & Maxillofacial Surgery, Fellowship in Cleft Lip and Craniofacial Surgery","15 years experience","Safdarjung Enclave, Delhi","Dentist",400,3,15,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BDS","10 years experience","New Friends Colony, Delhi","Dentist",250,1,10,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BHMS, Diploma in Cosmetology","12 years experience","Borivali West, Mumbai","Homeopath",300,2,12,7,6," Mumbai",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"MBBS, MS - ENT, DNB - ENT","31 years experience","Saket, Delhi","ENT Specialist",100,3,31,4,4," Delhi",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, AFIH","16 years experience","Malad, Mumbai","General Medicine",100,2,16,7,5," Mumbai",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Prosthodontist And Crown Bridge","8 years experience","Hyder Nagar, Hyderabad","Dentist",250,2,8,6,2," Hyderabad",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BHMS, M. D. Hom. (Practice of Medicine)","12 years experience","Dahisar West, Mumbai","Homeopath",500,2,12,7,6," Mumbai",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"BAMS, Diploma in Emergency Medicine, Diploma in Counselling Skills","31 years experience","RT Nagar, Bangalore","Ayurveda",500,3,31,1,1," Bangalore",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BAMS","8 years experience","Saroor Nagar, Hyderabad","Ayurveda",300,1,8,6,1," Hyderabad",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MD - Homeopathy, DHMS (Diploma in Homeopathic Medicine and Surgery)","22 years experience","Powai, Mumbai","Homeopath",500,2,22,7,6," Mumbai",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy","7 years experience","Basheerbagh, Hyderabad","Dermatologists",500,3,7,6,3," Hyderabad",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Oral and Maxillofacial Pathology","16 years experience","Musheerabad, Hyderabad","Dentist",200,2,16,6,2," Hyderabad",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS","31 years experience","AS Rao Nagar, Hyderabad","General Medicine",200,1,31,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MBBS, DDVL","8 years experience","Madhapur, Hyderabad","Dermatologists",400,2,8,6,3," Hyderabad",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Oral & Maxillofacial Surgery, MFDS RCS","10 years experience","Coimbatore Racecourse, Coimbatore","Dentist",200,3,10,3,2," Coimbatore",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MBBS","42 years experience","Gandhinagar, Hyderabad","General Medicine",100,1,42,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"BAMS","9 years experience","Chetpet, Chennai","Ayurveda",150,1,9,2,1," Chennai",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS, DDVL","22 years experience","Madhapur, Hyderabad","Dermatologists",650,2,22,6,3," Hyderabad",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"BDS","10 years experience","Vileparle East, Mumbai","Dentist",100,1,10,7,2," Mumbai",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BAMS","9 years experience","KPHB, Hyderabad","Ayurveda",300,1,9,6,1," Hyderabad",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MS - ENT, MRCS (UK)","25 years experience","Whitefield, Bangalore","ENT Specialist",600,3,25,1,4," Bangalore",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"BDS","14 years experience","Yelahanka New Town, Bangalore","Dentist",200,1,14,1,2," Bangalore",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy, FRGUHS, Fellowship in Dermatological Laser Surgery","11 years experience","Bannerghatta Road, Bangalore","Dermatologists",400,5,11,1,3," Bangalore",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, Member of the Royal College of Physicians, UK (MRCP UK), DNB, MNAMS- Family Medicine, MD - Medicine","24 years experience","Kodambakkam, Chennai","General Medicine",500,6,24,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"MBBS, MD - General Medicine","38 years experience","Malleswaram, Bangalore","General Medicine",500,2,38,1,5," Bangalore",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy","8 years experience","Pallikaranai, Chennai","General Medicine",500,3,8,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"BDS, MDS","12 years experience","Nallakunta, Hyderabad","Dentist",200,2,12,6,2," Hyderabad",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MDS - Prosthodontist And Crown Bridge, BDS","14 years experience","Paschim Vihar, Delhi","Dentist",200,2,14,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BHMS","5 years experience","Meera Bagh, Delhi","Homeopath",150,1,5,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"BHMS","22 years experience","Chattarpur, Delhi","Homeopath",200,1,22,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"BHMS, MS - Psychology","14 years experience","HSR Layout, Bangalore","Homeopath",200,2,14,1,6," Bangalore",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"MDS - Oral & Maxillofacial Surgery, BDS","6 years experience","Andheri West, Mumbai","Dentist",500,2,6,7,2," Mumbai",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, DDVL, MD - Dermatology , Venereology & Leprosy","36 years experience","Himayat Nagar, Hyderabad","Dermatologists",500,4,36,6,3," Hyderabad",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"BHMS, Diploma In Skin Aesthetics","6 years experience","Adambakkam, Chennai","Homeopath",150,2,6,2,6," Chennai",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"MBBS, MS - ENT","13 years experience","Punjabi Bagh, Delhi","ENT Specialist",500,2,13,4,4," Delhi",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"MDS - Periodontology and Oral Implantology, Certificate in Cosmetic Dentistry, Post Graduate Certificate in Endodontics (PGCE), BDS, Fellow of Academy of General Education (FAGE)","13 years experience","Saket, Delhi","Dentist",300,5,13,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, MS - Otorhinolaryngology","11 years experience","Paschim Vihar, Delhi","ENT Specialist",300,2,11,4,4," Delhi",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"BHMS","18 years experience","Mahalaxmi, Mumbai","Homeopath",100,1,18,7,6," Mumbai",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"MBBS","46 years experience","Kalina, Mumbai","General Medicine",100,1,46,7,5," Mumbai",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Dermatology","41 years experience","Attapur, Hyderabad","Dermatologists",350,2,41,6,3," Hyderabad",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MD - Rheumatology","40 years experience","Lakdikapul, Hyderabad","General Medicine",500,2,40,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Prosthodontist And Crown Bridge","7 years experience","Ambattur, Chennai","Dentist",100,2,7,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BDS, MDS - Paedodontics And Preventive Dentistry","13 years experience","Ramnagar, Coimbatore","Dentist",300,2,13,3,2," Coimbatore",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MD - Dermatology, MBBS","12 years experience","Shalimar Bagh, Delhi","Dermatologists",600,2,12,4,3," Delhi",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"MDS-Oral Pathology and Oral Microbiology, BDS","10 years experience","AS Rao Nagar, Hyderabad","Dentist",200,2,10,6,2," Hyderabad",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MD - General Medicine, FRCP, Doctor of Science (DSc.), D.LITT - Diabetology","49 years experience","Nungambakkam, Chennai","General Medicine",100,5,49,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"BDS","9 years experience","Miyapur, Hyderabad","Dentist",250,1,9,6,2," Hyderabad",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BAMS","20 years experience","Sagarpur, Delhi","Ayurveda",50,1,20,4,1," Delhi",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, DDV","11 years experience","Girgaon, Mumbai","Dermatologists",100,2,11,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Conservative Dentistry & Endodontics","10 years experience","Jayanagar, Bangalore","Dentist",200,2,10,1,2," Bangalore",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MD - General Medicine","16 years experience","Palayam, Thiruvananthapuram","General Medicine",150,2,16,8,5," Thiruvananthapuram",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"BDS, MDS - Conservative Dentistry & Endodontics, FICD","24 years experience","Munirka, Delhi","Dentist",500,3,24,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy","33 years experience","Tuglakabad, Delhi","Dermatologists",700,3,33,4,3," Delhi",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"MD - Dermatology , Venereology & Leprosy","10 years experience","Porur, Chennai","Dermatologists",250,2,10,2,3," Chennai",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS","36 years experience","Moosarambagh, Hyderabad","General Medicine",50,1,36,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"BAMS, Post Graduate Diploma in Emergency Services (PGDEMS)","8 years experience","Dahisar West, Mumbai","Ayurveda",50,2,8,7,1," Mumbai",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BAMS, MD - Acupuncture, Master of Hospital Administration, MS - Psychology","15 years experience","Anna Nagar East, Chennai","Ayurveda",250,4,15,2,1," Chennai",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BDS, MDS - Periodontology and Oral Implantology","7 years experience","Andheri West, Mumbai","Dentist",200,2,7,7,2," Mumbai",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Conservative Dentistry & Endodontics, Fellow of Academy of General Education (FAGE), BA","12 years experience","Bandra West, Mumbai","Dentist",500,4,12,7,2," Mumbai",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BHMS","12 years experience","Kanakpura Road, Bangalore","Homeopath",500,1,12,1,6," Bangalore",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"MD - Dermatology , Venereology & Leprosy, MBBS","13 years experience","Green Park, Delhi","Dermatologists",700,3,13,4,3," Delhi",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, DDVL","24 years experience","Maduravoyal, Chennai","Dermatologists",200,2,24,2,3," Chennai",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BAMS","27 years experience","Dahisar East, Mumbai","Ayurveda",100,1,27,7,1," Mumbai",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Periodontics","12 years experience","Moosapet, Hyderabad","Dentist",200,2,12,6,2," Hyderabad",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BHMS, MD - Homeopathy","9 years experience","Yelahanka New Town, Bangalore","Homeopath",500,2,9,1,6," Bangalore",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BDS, PGD in Endodontics","16 years experience","Koramangala, Bangalore","Dentist",200,2,16,1,2," Bangalore",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BDS, MDS - Pedodontics","22 years experience","TV Medical College, Thiruvananthapuram","Dentist",200,2,22,8,2," Thiruvananthapuram",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BDS, MDS - Periodontology and Oral Implantology","20 years experience","Mogappair East, Chennai","Dentist",100,2,20,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"PhD - Orthodontics & Dentofacial Orthopaedics, MOrth","30 years experience","Kadavanthra, Ernakulam","Dentist",300,2,30,5,2," Ernakulam",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MBBS, FRCP","52 years experience","Greams Road, Chennai","General Medicine",100,2,52,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"MBBS, MS - Otorhinolaryngology","13 years experience","Bommanahalli, Bangalore","ENT Specialist",350,2,13,1,4," Bangalore",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"BDS, MDS - Periodontics","19 years experience","T Nagar, Chennai","Dentist",300,2,19,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BAMS, MS - Ayurveda","16 years experience","Yelahanka, Bangalore","Ayurveda",300,2,16,1,1," Bangalore",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BDS","10 years experience","Hazrat Nizamuddin, Delhi","Dentist",250,1,10,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MRCPS, MBBS","60 years experience","Old Rajendra Nagar, Delhi","General Medicine",100,2,60,4,5," Delhi",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"BAMS","12 years experience","Dadar West, Mumbai","Ayurveda",100,1,12,7,1," Mumbai",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, Diploma in Dermatology","11 years experience","Indiranagar, Bangalore","Dermatologists",500,2,11,1,3," Bangalore",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"BDS, P.G Diploma in Aesthetic Dentistry","15 years experience","Perumbakkam, Chennai","Dentist",200,2,15,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MDS - Conservative Dentistry & Endodontics, BDS","6 years experience","Arekere, Bangalore","Dentist",250,2,6,1,2," Bangalore",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MD - General Medicine","5 years experience","Shaikpet, Hyderabad","General Medicine",500,2,5,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"BDS","9 years experience","Vyttila, Ernakulam","Dentist",200,1,9,5,2," Ernakulam",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MBBS, DDV","21 years experience","Khar West, Mumbai","Dermatologists",100,2,21,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS","7 years experience","Kadavanthra, Ernakulam","Dentist",250,1,7,5,2," Ernakulam",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MD - Ayurveda Medicine, BAMS","20 years experience","Goregaon West, Mumbai","Ayurveda",500,2,20,7,1," Mumbai",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BAMS, MS - Ayurveda","10 years experience","Bakkarwala, Delhi","Ayurveda",150,2,10,4,1," Delhi",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BHMS","12 years experience","Nesapakkam, Chennai","Homeopath",100,1,12,2,6," Chennai",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"BHMS","12 years experience","Malleswaram, Bangalore","Homeopath",500,1,12,1,6," Bangalore",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BHMS","26 years experience","BTM Layout 2nd Stage, Bangalore","Homeopath",200,1,26,1,6," Bangalore",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"MBBS, Diploma in Otorhinolaryngology (DLO)","31 years experience","Ashok Nagar, Chennai","ENT Specialist",200,2,31,2,4," Chennai",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS, DDV","15 years experience","Chandivali, Mumbai","Dermatologists",600,2,15,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine","11 years experience","Uttam Nagar, Delhi","General Medicine",300,2,11,4,5," Delhi",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"BDS","11 years experience","Gujranwala Town, Delhi","Dentist",300,1,11,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS","5 years experience","Greater Kailash Part 1, Delhi","General Medicine",800,1,5,4,5," Delhi",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"MS - General Surgery, Diploma in Otorhinolaryngology (DLO)","24 years experience","Kodambakkam, Chennai","ENT Specialist",300,2,24,2,4," Chennai",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"DDVL, Diploma in Health Administration, MD - Dermatology, MBBS","13 years experience","Defence Colony, Delhi","Dermatologists",100,4,13,4,3," Delhi",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, MD - Dermatology","12 years experience","Panchsheel Park, Delhi","Dermatologists",800,2,12,4,3," Delhi",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"BDS","5 years experience","Thoraipakkam, Chennai","Dentist",200,1,5,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BHMS","8 years experience","South Extension 2, Delhi","Homeopath",350,1,8,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"MBBS, MD - Skin & VD, FAMS - Fellowship of the Academy Medicine","8 years experience","Kandivali East, Mumbai","Dermatologists",100,3,8,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS","35 years experience","Andheri West, Mumbai","General Medicine",200,1,35,7,5," Mumbai",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"MBBS, Diploma in Dermatology","24 years experience","Malleswaram, Bangalore","Dermatologists",300,2,24,1,3," Bangalore",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, DDVL","14 years experience","Indiranagar, Bangalore","Dermatologists",500,2,14,1,3," Bangalore",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MD - Internal Medicine, DNB - Internal Medicine","19 years experience","KPHB, Hyderabad","General Medicine",400,3,19,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MD - General Medicine, MBBS","34 years experience","Borivali West, Mumbai","General Medicine",100,2,34,7,5," Mumbai",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MS - ENT, DNB - ENT, FRCS - General Surgery","21 years experience","Pallikaranai, Chennai","ENT Specialist",500,4,21,2,4," Chennai",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS","13 years experience","Jubilee Hills, Hyderabad","General Medicine",750,1,13,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MS - ENT","39 years experience","Pitampura, Delhi","ENT Specialist",800,2,39,4,4," Delhi",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, Diploma in Otorhinolaryngology (DLO)","35 years experience","Banashankari 3rd Stage, Bangalore","ENT Specialist",200,2,35,1,4," Bangalore",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"BHMS, MD - Homeopathy","36 years experience","Kolenchery, Ernakulam","Homeopath",250,2,36,5,6," Ernakulam",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"MBBS, Diploma in Otorhinolaryngology (DLO), MRCS (UK)","19 years experience","Kumaraswamy Layout, Bangalore","ENT Specialist",300,3,19,1,4," Bangalore",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, DDVL","10 years experience","Vadapalani, Chennai","Dermatologists",800,2,10,2,3," Chennai",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS, DNB - ENT","7 years experience","Manikonda, Hyderabad","ENT Specialist",300,2,7,6,4," Hyderabad",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS","32 years experience","Gandhipuram, Coimbatore","General Medicine",150,1,32,3,5," Coimbatore",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
